List,Order,Item,Condition,Amb,Vis,Half,expTrials,FirstDisplay,SecondDisplay,sentence,Chinese,Italian,recordingName
1,4,p3,,,,,N,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.,N_List1_Order4_Item_p3_Cond
2,4,p3,,,,,N,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.,N_List2_Order4_Item_p3_Cond
3,4,p3,,,,,N,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.,N_List3_Order4_Item_p3_Cond
4,4,p3,,,,,N,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.,N_List4_Order4_Item_p3_Cond
1,5,p2,,,,,N,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，一眼看上了这个泰迪熊。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.,N_List1_Order5_Item_p2_Cond
2,5,p2,,,,,N,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，一眼看上了这个泰迪熊。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.,N_List2_Order5_Item_p2_Cond
3,5,p2,,,,,N,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，一眼看上了这个泰迪熊。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.,N_List3_Order5_Item_p2_Cond
4,5,p2,,,,,N,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，一眼看上了这个泰迪熊。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.,N_List4_Order5_Item_p2_Cond
1,6,x01,,,,1,N,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely.",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo.",N_List1_Order6_Item_x01_Cond
2,6,x01,,,,1,N,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely.",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo.",N_List2_Order6_Item_x01_Cond
3,6,x01,,,,1,N,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely.",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo.",N_List3_Order6_Item_x01_Cond
4,6,x01,,,,1,N,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely.",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo.",N_List4_Order6_Item_x01_Cond
1,7,x02,,,,1,N,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.,N_List1_Order7_Item_x02_Cond
2,7,x02,,,,1,N,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.,N_List2_Order7_Item_x02_Cond
3,7,x02,,,,1,N,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.,N_List3_Order7_Item_x02_Cond
4,7,x02,,,,1,N,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.,N_List4_Order7_Item_x02_Cond
1,8,1,4,2,2,1,Y,4011.jpg,4012.jpg,The witch visited the garden with the boy.,女巫和男孩去参观了花园。,La strega ha visitato il giardino con il bambino.,Y_List1_Order8_Item_1_Cond4
2,8,1,1,1,1,1,Y,1011.jpg,1012.jpg,The witch visited the garden with the girl.,女巫和女孩去参观了花园。,La strega ha visitato il giardino con la bambina.,Y_List2_Order8_Item_1_Cond1
3,8,1,2,1,2,1,Y,2011.jpg,2012.jpg,The witch visited the garden with the girl.,女巫和女孩去参观了花园。,La strega ha visitato il giardino con la bambina.,Y_List3_Order8_Item_1_Cond2
4,8,1,3,2,1,1,Y,3011.jpg,3012.jpg,The witch visited the garden with the boy.,女巫和男孩去参观了花园。,La strega ha visitato il giardino con il bambino.,Y_List4_Order8_Item_1_Cond3
1,9,x03,,,,1,N,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫吃素。,I gatti del vicino erano vegetariani.,N_List1_Order9_Item_x03_Cond
2,9,x03,,,,1,N,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫吃素。,I gatti del vicino erano vegetariani.,N_List2_Order9_Item_x03_Cond
3,9,x03,,,,1,N,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫吃素。,I gatti del vicino erano vegetariani.,N_List3_Order9_Item_x03_Cond
4,9,x03,,,,1,N,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫吃素。,I gatti del vicino erano vegetariani.,N_List4_Order9_Item_x03_Cond
1,10,2,1,1,1,1,Y,1021.jpg,1022.jpg,The Indian went to the forest with the admiral.,印第安人和将军去了森林。,L'indiano e' andato nella foresta con l'ammiraglio.,Y_List1_Order10_Item_2_Cond1
2,10,2,2,1,2,1,Y,2021.jpg,2022.jpg,The Indian went to the forest with the admiral.,印第安人和将军去了森林。,L'indiano e' andato nella foresta con l'ammiraglio.,Y_List2_Order10_Item_2_Cond2
3,10,2,3,2,1,1,Y,3021.jpg,3022.jpg,The Indian went to the forest with the countess.,印第安人和女爵士去了森林。,L'indiano e' andato nella foresta con la contessa.,Y_List3_Order10_Item_2_Cond3
4,10,2,4,2,2,1,Y,4021.jpg,4022.jpg,The Indian went to the forest with the countess.,印第安人和女爵士去了森林。,L'indiano e' andato nella foresta con la contessa.,Y_List4_Order10_Item_2_Cond4
1,11,x04,,,,1,N,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha visto che i conigli erano usciti.,N_List1_Order11_Item_x04_Cond
2,11,x04,,,,1,N,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha visto che i conigli erano usciti.,N_List2_Order11_Item_x04_Cond
3,11,x04,,,,1,N,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha visto che i conigli erano usciti.,N_List3_Order11_Item_x04_Cond
4,11,x04,,,,1,N,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha visto che i conigli erano usciti.,N_List4_Order11_Item_x04_Cond
1,12,3,2,1,2,1,Y,2031.jpg,2032.jpg,The countess came out of the house with the nun.,女爵士和修女从房子里出来。,La contessa e' uscita da casa con la suora.,Y_List1_Order12_Item_3_Cond2
2,12,3,3,2,1,1,Y,3031.jpg,3032.jpg,The countess came out of the house with the priest.,女爵士和牧师从房子里出来。,La contessa e' uscita da casa con il prete.,Y_List2_Order12_Item_3_Cond3
3,12,3,4,2,2,1,Y,4031.jpg,4032.jpg,The countess came out of the house with the priest.,女爵士和牧师从房子里出来。,La contessa e' uscita da casa con il prete.,Y_List3_Order12_Item_3_Cond4
4,12,3,1,1,1,1,Y,1031.jpg,1032.jpg,The countess came out of the house with the nun.,女爵士和修女从房子里出来。,La contessa e' uscita da casa con la suora.,Y_List4_Order12_Item_3_Cond1
1,13,x05,,,,1,N,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa.,N_List1_Order13_Item_x05_Cond
2,13,x05,,,,1,N,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa.,N_List2_Order13_Item_x05_Cond
3,13,x05,,,,1,N,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa.,N_List3_Order13_Item_x05_Cond
4,13,x05,,,,1,N,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa.,N_List4_Order13_Item_x05_Cond
1,14,4,3,2,1,1,Y,3041.jpg,3042.jpg,The king visited the castle with the stewardess.,国王和乘务员去参观了城堡。,Il re ha visitato il castello con la hostess.,Y_List1_Order14_Item_4_Cond3
2,14,4,4,2,2,1,Y,4041.jpg,4042.jpg,The king visited the castle with the stewardess.,国王和乘务员去参观了城堡。,Il re ha visitato il castello con la hostess.,Y_List2_Order14_Item_4_Cond4
3,14,4,1,1,1,1,Y,1041.jpg,1042.jpg,The king visited the castle with the pilot.,国王和飞行员去参观了城堡。,Il re ha visitato il castello con il pilota.,Y_List3_Order14_Item_4_Cond1
4,14,4,2,1,2,1,Y,2041.jpg,2042.jpg,The king visited the castle with the pilot.,国王和飞行员去参观了城堡。,Il re ha visitato il castello con il pilota.,Y_List4_Order14_Item_4_Cond2
1,15,x06,,,,1,N,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.,N_List1_Order15_Item_x06_Cond
2,15,x06,,,,1,N,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.,N_List2_Order15_Item_x06_Cond
