List,Order,Item,Condition,Amb,Vis,Half,FirstDisplay,SecondDisplay,sentence,Chinese,Italian
1,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,溜冰的人本以为自己能踢中球。,La pattinatrice pensava che avrebbe colpito la palla.
2,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,溜冰的人本以为自己能踢中球。,La pattinatrice pensava che avrebbe colpito la palla.
3,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,溜冰的人本以为自己能踢中球。,La pattinatrice pensava che avrebbe colpito la palla.
4,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,溜冰的人本以为自己能踢中球。,La pattinatrice pensava che avrebbe colpito la palla.
1,35,x17,,,,2,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.
2,35,x17,,,,2,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.
3,35,x17,,,,2,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.
4,35,x17,,,,2,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.
1,36,13,1,1,1,2,1131.jpg,1132.jpg,The sheriff talked about politics with the groom.,警长和新郎聊了政治。,Lo sceriffo ha parlato di politica con lo sposo.
2,36,13,2,1,2,2,2131.jpg,2132.jpg,The sheriff talked about politics with the groom.,警长和新郎聊了政治。,Lo sceriffo ha parlato di politica con lo sposo.
3,36,13,3,2,1,2,3131.jpg,3132.jpg,The sheriff talked about politics with the bride.,警长和新娘聊了政治。,Lo sceriffo ha parlato di politica con la sposa.
4,36,13,4,2,2,2,4131.jpg,4132.jpg,The sheriff talked about politics with the bride.,警长和新娘聊了政治。,Lo sceriffo ha parlato di politica con la sposa.
1,37,x18,,,,2,x1701.jpg,x1702.jpg,The ice cream man saw a soldier in the park.,卖冰淇淋的人看见公园里有名士兵。,Il venditore di gelato ha visto un soldato nel parco.
2,37,x18,,,,2,x1701.jpg,x1702.jpg,The ice cream man saw a soldier in the park.,卖冰淇淋的人看见公园里有名士兵。,Il venditore di gelato ha visto un soldato nel parco.
3,37,x18,,,,2,x1701.jpg,x1702.jpg,The ice cream man saw a soldier in the park.,卖冰淇淋的人看见公园里有名士兵。,Il venditore di gelato ha visto un soldato nel parco.
